"name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","reviews_per_month","days_as_host","city"
"Amsterdam townhouse + sauna, 165m2","2016-03-03","within a few hours",100,NA,"f",1,1,"t","t","Entire home/apt",6,3,7,636,2,1125,271,3,0,0,5,5,5,5,5,4.67,5,"f",1,0.06,2094,"Amsterdam"
"lovely apartment Amsterdam West","2012-05-13","within a few hours",67,43,"f",1,1,"t","t","Entire home/apt",4,2,2,250,2,30,23,22,6,0,4.86,4.91,4.82,4.95,4.91,4.86,4.59,"f",1,0.54,3484,"Amsterdam"
"Light apartment with garden;ten min to Leidseplein","2016-09-07","N/A",NA,NA,"f",0,0,"t","f","Entire home/apt",2,1,1,140,2,20,91,12,0,0,5,5,5,4.91,5,4.73,4.73,"f",1,0.29,1906,"Amsterdam"
"Spacious 3 bedroom family apt","2014-04-30","within a few hours",100,33,"f",1,1,"t","f","Entire home/apt",3,3,4,200,4,1125,34,11,3,0,4.91,5,4.91,5,5,4.73,4.91,"f",1,0.12,2767,"Amsterdam"
"fantastic room at Amstel river for two","2017-07-03","within an hour",96,99,"f",0,0,"t","t","Private room",2,1,2,71,2,1125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",11,NA,1607,"Amsterdam"
"Spacious apartment in Amsterdam","2014-06-12","N/A",NA,NA,"f",3,3,"t","t","Entire home/apt",6,3,2,240,3,18,0,5,0,0,4.6,4,4.6,4.6,4.8,4.4,4.4,"f",1,0.13,2724,"Amsterdam"
"Super central & spacious, overlooking Singel Canal","2012-02-28","within an hour",100,88,"t",8,8,"t","t","Entire home/apt",4,2,2,262,5,1124,16,50,0,0,4.78,4.74,4.72,4.96,4.98,4.96,4.7,"t",8,0.85,3559,"Amsterdam"
"Top location with amazing view + boat","2015-09-14","within a few hours",100,40,"t",1,1,"t","f","Entire home/apt",2,1,NA,249,5,1125,213,56,1,0,4.93,4.95,4.93,4.98,5,4.78,4.71,"f",1,0.76,2265,"Amsterdam"
"Entire private apartment in renovated cargo ship","2012-11-25","within a day",90,74,"f",2,2,"t","t","Private room",4,2,5,151,3,1125,156,13,2,1,4.69,5,4.54,5,4.77,4.54,4.77,"f",1,0.6,3288,"Amsterdam"
"Lovely apartment with sunny balcony in the Pijp","2014-07-09","within an hour",100,100,"f",0,0,"t","t","Entire home/apt",2,1,1,149,3,14,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,2697,"Amsterdam"
"Stunning Residence in Vondelpark/Museum District","2021-08-17","within an hour",100,100,"f",0,0,"t","t","Private room",2,1,1,143,2,1125,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",2,NA,101,"Amsterdam"
"City center apt of 90sqm in monumental building","2021-07-23","within an hour",100,100,"f",1,1,"t","t","Entire home/apt",4,2,3,226,2,30,2,9,9,3,4.89,4.89,4.44,4.89,5,5,4.89,"f",1,3.29,126,"Amsterdam"
"Spacious and modern house in Amsterdam","2012-07-09","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",4,4,5,266,2,29,103,6,0,0,4.4,4.8,4.4,4.6,4.8,4.8,4.2,"f",1,0.23,3427,"Amsterdam"
"Residences | 1-Bedrooms | Serviced Apartment","2021-01-13","within a few hours",91,100,"f",0,0,"t","t","Entire home/apt",4,1,3,143,7,180,274,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",5,NA,317,"Amsterdam"
"Stylish 4 floor villa, own entrance","2016-05-03","within a day",100,NA,"f",1,1,"t","t","Entire home/apt",4,3,4,425,3,1125,127,19,0,0,5,5,5,4.95,5,4.89,4.79,"f",1,0.35,2033,"Amsterdam"
"Amsterdam with everything you want&need closeby!","2012-12-14","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",4,2,2,120,3,3,1,17,0,0,5,4.94,5,5,5,4.76,4.88,"f",1,0.49,3269,"Amsterdam"
"Cannabis Friendly Weber Design Studio 2","2018-03-13","within an hour",97,99,"f",22,22,"t","t","Entire home/apt",2,NA,1,131,2,1125,0,8,8,1,4.25,4.5,4.5,4.88,4.63,4.88,4.25,"t",22,2.24,1354,"Amsterdam"
"Luxurious studio with private bathroom and terrace","2013-09-06","within an hour",100,80,"f",0,0,"t","t","Private room",2,1,1,80,3,30,121,2,2,0,5,5,5,5,5,5,5,"f",1,0.88,3003,"Amsterdam"
"Cosy room in trendiest neighbourhood of A'dam","2015-03-19","N/A",NA,NA,"f",1,1,"t","f","Private room",1,1,1,75,3,7,0,2,0,0,5,5,5,5,5,4,5,"f",1,0.04,2444,"Amsterdam"
"Architectual designed house","2014-08-20","within an hour",100,50,"f",0,0,"t","f","Entire home/apt",4,4,4,375,3,1125,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,2655,"Amsterdam"
"Canal View apartment in City Centre","2013-07-20","within a day",100,82,"f",3,3,"t","f","Entire home/apt",3,2,2,150,7,1125,145,129,15,1,4.64,4.77,4.56,4.73,4.79,4.95,4.57,"f",1,1.75,3051,"Amsterdam"
"Light & trendy apartment in Amsterdam West","2012-11-28","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,110,2,8,0,50,0,0,4.9,4.98,4.92,4.96,4.88,4.53,4.69,"f",1,0.97,3285,"Amsterdam"
"Picturesque family house with a great garden","2018-05-28","N/A",NA,NA,"f",2,2,"t","f","Entire home/apt",4,3,4,259,7,21,0,2,0,0,3.5,4.5,3.5,5,5,4.5,3,"f",2,0.05,1278,"Amsterdam"
"Private studio Amsterdam, own entrance","2017-12-17","N/A",NA,NA,"f",1,1,"t","f","Private room",2,NA,1,71,1,1125,0,4,0,0,5,4.75,5,5,5,4.5,4.75,"f",1,0.09,1440,"Amsterdam"
"Amazing house with garden with use of sauna","2016-03-22","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,236,2,5,133,55,0,0,4.95,4.89,4.94,4.94,4.94,4.89,4.68,"f",1,0.82,2075,"Amsterdam"
"PRIVATE Studio Apartment, Pijp district, Amsterdam","2016-06-08","within a few hours",100,100,"t",1,1,"t","t","Private room",2,1,1,71,1,1125,261,304,8,0,4.83,4.9,4.88,4.95,4.96,4.92,4.72,"t",1,4.95,1997,"Amsterdam"
"Dutchies Hostel","2019-11-11","within an hour",100,100,"f",2,2,"t","t","Hotel room",10,NA,NA,0,1,365,0,108,108,12,4.3,4.43,4.24,4.66,4.56,4.07,4.38,"f",1,10.35,746,"Amsterdam"
"Amsterdam penthouse with amazing views","2018-01-24","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",2,1,1,121,2,1125,0,5,0,0,4.6,4.8,3.4,4.8,5,4.4,4.4,"t",1,0.15,1402,"Amsterdam"
"Amalia Residence","2012-08-29","within an hour",100,98,"t",4,4,"t","t","Entire home/apt",4,2,2,291,1,365,262,85,17,2,4.57,4.63,4.87,4.74,4.8,4.67,4.37,"t",4,1.61,3376,"Amsterdam"
"Private Studio 53 Amsterdam, near Anne Frank","2014-05-21","within an hour",100,96,"t",1,1,"t","t","Private room",2,1,1,106,3,1125,124,248,2,1,4.85,4.88,4.88,4.93,4.93,4.95,4.65,"f",1,2.78,2746,"Amsterdam"
"Spacious room in nice apartment","2015-11-04","within an hour",96,97,"f",3,3,"t","t","Private room",3,1,2,61,1,1125,359,22,10,1,4.59,4.82,4.32,4.82,4.68,4.77,4.59,"t",4,1.4,2214,"Amsterdam"
"GARDEN SUITE incl Food, Drinks, Wines + GARDEN !","2015-10-03","within a day",80,35,"f",4,4,"t","t","Entire home/apt",2,1,NA,260,3,1125,299,69,13,1,4.88,4.88,4.82,4.88,4.91,4.93,4.78,"f",4,0.98,2246,"Amsterdam"
"City centre B&B De Admiraal","2013-06-20","within an hour",95,91,"f",4,4,"t","t","Private room",4,2,3,175,2,15,52,70,11,0,4.7,4.67,4.84,4.9,4.84,4.71,4.41,"f",1,1.65,3081,"Amsterdam"
"Da Costa Suite","2016-07-17","within an hour",100,98,"t",2,2,"t","t","Private room",2,1,1,399,2,1125,324,28,17,2,4.89,4.96,4.82,4.96,5,4.96,4.79,"t",2,0.75,1958,"Amsterdam"
"Peaceful, green Amsterdam house (free parking)","2015-04-14","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,3,3,150,4,14,0,18,0,0,5,5,4.94,4.94,5,4.59,4.71,"f",1,0.32,2418,"Amsterdam"
"Quiet garden room, private bath, airco, parking","2015-04-24","within an hour",100,100,"t",2,2,"t","t","Private room",2,1,1,100,2,30,341,255,5,4,4.94,4.97,4.97,4.99,4.98,4.91,4.81,"f",2,3.24,2408,"Amsterdam"
"Lichte, rustige loft Westerpark","2015-07-13","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,NA,2,115,2,1125,0,30,0,0,4.76,4.79,4.86,4.96,4.93,4.69,4.66,"f",1,0.4,2328,"Amsterdam"
